,ZFP36,GADD45B,PNRC1,KIF21B,ELFN2,CSPG5,CP,ATF3,RGS1,CD40,ARPP21,SPHKAP,MBOAT1,JUNB,OLFML2B,TNFRSF1A,CEBPD,TNFAIP3,FCGR2A,SGK1,PRDM1,STX11,ARMCX4,C1orf85,PNRC1.1,FPR3,TRAM2,LCP2,FCGR2A.1,GBP2,CCRL2,OLFML2B.1,CAP1,KYNU,HMOX1,PLAUR,SERPINA5,SERPINE1,FCGR2A.2,SPIRE2,CXCL1
CGGA_P179,739.0630588,607.9389677,37418.04744,14399.80927,143.044463,870.1871498,33019.43021,11801.1682,11574.68113,262.2481821,2956.252235,60960.78198,14316.36667,3254.261533,393.3722732,1144.355704,63082.60818,7807.843605,750.9834307,166.8852068,143.044463,10573.36989,45190.12993,3135.057814,37418.04744,16056.74097,301692.6928,226.4870664,750.9834307,1537.727977,691.3815711,393.3722732,129765.1687,7950.888068,1656.931696,84408.15353,41232.56646,3301.943021,750.9834307,15997.13911,31457.86149
CGGA_P18,461.3855764,201.1167897,27328.2226,11700.265,70.98239637,508.707174,39123.1308,17650.9559,1904.694302,165.6255915,4164.300587,57164.48987,18277.96706,42837.87621,59.15199697,638.8415673,48551.95911,8281.279576,106.4735945,177.4559909,437.7247776,9961.19629,29422.20329,1739.068711,27328.2226,25470.8499,99718.43649,0,106.4735945,792.6367594,567.8591709,59.15199697,223795.6653,12019.68578,94.64319515,159319.9886,69953.15162,5903.369298,106.4735945,4247.113383,49581.20386
CGGA_P180,0,4156.769596,31792.43559,16901.15111,91.35757354,0,100264.937,13338.20574,0,91.35757354,1141.969669,7080.21195,8496.254339,3014.799927,2101.224191,228.3939339,63995.98027,2558.012059,0,274.0727206,0,2649.369633,16078.93294,26265.30239,31792.43559,8907.36342,313265.1197,0,0,3608.624155,730.8605883,2101.224191,51891.10177,21514.70857,1279.00603,151881.966,48510.87155,9729.581582,0,17586.33291,36680.06578
CGGA_P183,1449.214039,190.407684,25673.30273,7034.506104,42.31281867,1174.180718,56508.76933,14354.62373,1999.280682,137.5166607,1956.967863,62390.25113,15285.50574,34654.19849,84.62563734,2581.081939,68631.39188,7499.947109,21.15640933,296.1897307,42.31281867,9499.227791,20299.57476,4601.51903,25673.30273,22721.98362,305593.7546,52.89102334,21.15640933,1787.716589,285.611526,84.62563734,69953.66746,6071.889479,423.1281867,167484.7145,37383.37529,3205.196014,21.15640933,10959.02004,11868.74564
CGGA_P19,1963.728774,600.6699781,25597.78214,12567.86416,80.85942012,219.4755689,37472.56555,11331.87016,8074.390667,57.75672866,2125.447615,63994.45535,14935.89003,10442.41654,0,750.8374726,63832.73651,7704.747603,80.85942012,334.9890262,0,6861.499365,25967.42521,3049.555273,25597.78214,21739.63267,252731.8933,23.10269146,80.85942012,1374.610142,542.9132494,0,179196.0263,9090.909091,6099.110546,96615.4557,54002.5413,4112.279081,80.85942012,24581.26372,26082.93866
CGGA_P205,0,5568.901507,22057.21773,27735.31339,1201.135619,655.1648832,110832.0594,15287.18061,0,327.5824416,1419.523914,8407.949334,11574.5796,6114.872243,764.3590304,873.5531775,40074.25202,2620.659533,0,0,0,3166.630269,16488.31623,7643.590304,22057.21773,26097.40118,310111.378,0,0,8298.755187,873.5531775,764.3590304,44987.98864,23913.51824,4804.542477,136274.2957,32430.66172,9936.667395,0,49464.94868,47171.87159
CGGA_P23,443.7869822,6582.840237,24334.31953,17825.44379,0,0,149926.0355,24112.42604,443.7869822,0,1331.360947,7026.627219,8062.130178,33210.05917,147.9289941,295.8579882,49556.21302,2810.650888,0,0,369.8224852,5029.585799,9985.207101,11982.24852,24334.31953,17381.6568,253550.2959,0,0,813.6094675,221.8934911,147.9289941,46375.73964,21671.59763,8136.094675,139275.1479,15606.50888,8357.988166,0,61612.42604,49038.46154
CGGA_P25,293.2336339,6084.597903,24778.24206,31229.38201,439.8504508,586.4672678,67370.42739,20819.58801,1906.01862,879.7009017,1612.784986,4545.121325,14954.91533,1392.859761,1832.710212,439.8504508,95667.47306,2565.794297,659.7756763,0,0,1392.859761,12682.35467,12022.57899,24778.24206,25804.55978,185543.5818,293.2336339,659.7756763,3372.18679,1759.401803,1832.710212,99332.89348,23678.61594,953.0093102,172128.1431,39366.61535,14221.83124,659.7756763,38486.91445,62971.92288
CGGA_P265,1576.320168,7881.600841,22156.0557,11997.54795,963.3067694,0,121026.3596,31701.55005,437.8667134,0,1138.453455,6217.70733,8844.90761,3853.227078,175.1466853,350.2933707,68307.20729,3765.653735,0,525.440056,0,3502.933707,9457.921009,10859.09449,22156.0557,22593.92241,310184.7798,0,0,963.3067694,350.2933707,175.1466853,30125.22988,39057.71083,437.8667134,162536.124,33803.31027,3590.50705,0,28636.48305,30650.66994
CGGA_P27,818.0516736,691.4484384,32361.73466,9709.494269,0,555.1064928,38195.22219,9514.720061,6310.684339,29.2161312,1295.248483,62717.29498,11890.9654,18678.84655,77.9096832,1188.122669,60009.93348,4733.013254,19.4774208,0,185.0354976,7566.977981,32985.01212,2045.129184,32361.73466,16682.41092,316400.9622,19.4774208,19.4774208,1431.590429,311.6387328,77.9096832,136887.3134,7021.610198,1197.861379,106200.6369,43278.82902,2941.090541,19.4774208,11939.65895,21629.6758
CGGA_P271,2509.620211,2844.236239,43667.39167,24259.66204,0,752.8860632,53287.60248,37476.99515,1505.772126,0,2091.350176,9118.286766,14388.48921,113183.8715,250.9620211,585.5780492,53120.29446,5772.126485,0,0,334.6160281,4851.932408,7026.93659,5019.240422,43667.39167,17316.37945,293709.2187,0,0,83.65400703,250.9620211,250.9620211,93106.90982,11711.56098,1756.734148,71775.13803,11795.21499,3011.544253,0,40572.19341,28944.28643
CGGA_P28,634.6926334,4735.141094,20376.97402,9737.521191,200.4292526,33.40487544,40495.06025,8509.892019,6756.136058,192.0780338,2847.765631,59076.52222,10722.96502,2806.009537,384.1560676,1578.380365,43184.15273,4584.819154,33.40487544,75.16096974,125.2682829,18239.06199,32786.88525,2313.287624,20376.97402,22155.78364,419890.9331,16.70243772,33.40487544,3256.975356,342.3999733,384.1560676,108148.2842,6806.243371,15508.21342,57982.51255,25446.16387,1686.94621,33.40487544,10714.6138,36787.11908
CGGA_P83,477.4761479,512.2016859,23378.96848,6875.65653,43.40692254,928.9081423,39708.65274,10582.60771,685.8293761,34.72553803,763.9618366,79573.57039,8290.722204,14376.37274,130.2207676,286.4856887,41601.19456,2960.352117,0,390.6623028,251.7601507,4566.408251,28379.44595,3732.995338,23378.96848,20305.75836,241151.4988,0,0,546.927224,451.4319944,130.2207676,203734.7316,13134.93476,0,188568.3529,13508.23429,1310.889061,0,4687.947634,20557.51851
CGGA_P84,1565.457615,634.3684453,26397.91272,11848.36548,71.62224382,603.6731979,40712.12974,10978.6668,1463.140124,122.7809894,2578.400778,57226.17281,14723.48698,14559.77899,81.85399294,1647.311608,66230.11204,7438.481608,20.46349824,511.5874559,235.3302297,5995.804983,23737.65795,3038.829488,26397.91272,19849.59329,250800.6344,40.92699647,20.46349824,1330.127385,276.2572262,81.85399294,164117.2558,7551.030849,1207.346396,127334.1178,60029.67207,5310.277792,20.46349824,22213.12733,20995.54919
CGGA_P86,1041.287031,281.1474983,32311.13656,5393.866819,166.6059249,1124.589993,44015.20279,13151.4552,104.1287031,114.5415734,1582.756287,62227.31296,11547.87317,21721.24746,41.65148123,4217.212475,85979.07013,5799.968761,31.23861092,0,104.1287031,8382.360598,26136.30447,4102.670901,32311.13656,20815.32775,295777.5811,0,31.23861092,1791.013693,531.0563857,41.65148123,84083.92773,5664.601447,41.65148123,151476.0244,40256.15661,2561.566096,31.23861092,19659.49914,15348.57083
CGGA_P89,130.0910637,3002.101471,21635.1446,11077.75443,250.1751226,60.04202942,59651.75623,10717.50225,6474.532173,550.3852697,5824.076854,40098.06865,9946.962874,1110.777544,230.1611128,350.2451716,71560.09206,4152.907035,570.3992795,0,50.03502452,5623.936756,31752.22656,1400.980686,21635.1446,17202.04143,205513.8597,0,570.3992795,1871.309917,730.511358,230.1611128,187621.3349,8495.947163,2541.779245,136525.5679,55889.12239,1631.141799,570.3992795,10457.32012,62293.60552
CGGA_P93,1140.129666,859.9283071,21942.665,9188.672135,19.32423162,1043.508507,41054.33008,10174.20795,3613.631313,77.29692648,2125.665478,54987.10108,13536.62425,6889.088573,38.64846324,599.0511802,55644.12495,5517.068128,38.64846324,425.1330956,454.1194431,6000.173918,27111.89696,2463.839532,21942.665,21691.44999,299023.1601,19.32423162,38.64846324,1333.371982,637.6996435,38.64846324,161309.0234,10212.85641,173.9180846,142970.3276,24242.24857,4734.436747,38.64846324,21662.46365,24986.23148
