"","cluster1","cluster2","cluster4","cluster5"
"CGGA_1001",0.861260674926277,0.579314144108536,0.636892275935541,0.551326200949118
"CGGA_1006",0.162547392894547,-0.103963304627319,-0.291025271778223,-0.30890869175018
"CGGA_1007",0.62405124178199,-0.587923439318895,-0.167083637152736,-0.16235946179522
"CGGA_1011",0.673804966897177,0.580035003899079,0.650752537189303,0.623858417751661
"CGGA_1015",0.801407416380623,0.311389468543146,0.513992910540305,0.390680466181722
"CGGA_1019",0.750094086073878,-0.121625058507461,0.179667390455243,-0.223596328601373
"CGGA_1022",0.75596197601214,0.209288730311016,0.530567524067401,0.522895652800505
"CGGA_1023",-0.0459627873324564,-0.463553941786916,-0.491675080201562,-0.547429169742562
"CGGA_1024",0.69337805281938,0.17850316517536,0.377033526437099,0.465319923893502
"CGGA_1026",0.447242053621855,-0.134799864866898,0.212333571925924,0.470458523250687
"CGGA_1034",0.395661756296422,0.626281388038924,0.662204120902874,0.658100792610281
"CGGA_1035",0.703773287918517,-0.273358205404095,0.0522606579693117,0.000560062472787337
"CGGA_1039",0.261745777930229,-0.112932422045683,-0.292165104538458,-0.119413417512262
"CGGA_1045",0.754673471375607,0.185465382986371,0.297808818301605,0.173729947455058
"CGGA_1049",0.716078605671638,0.23669138850998,0.327583983318253,0.447640959568542
"CGGA_1052",0.581205725759288,-0.539653752263292,-0.395822283175928,-0.320064190492112
"CGGA_1072",0.199066322046665,0.108116804413996,0.218508675903934,0.40728203832642
"CGGA_1077",0.665983173418024,0.133972342373446,0.443832322554935,-0.0608904362919496
"CGGA_1078",0.777235255833074,-0.212445040908789,0.343241704510687,0.641729426276397
"CGGA_1079",0.776198726560277,0.317144886497371,0.419437954762894,0.365365696200903
"CGGA_1081",0.378854380084475,-0.414253620189758,-0.161945301325217,-0.236985988140011
"CGGA_1083",0.83742229944287,0.374740465223783,0.616089669826322,0.640049286797244
"CGGA_1091",0.665008125492118,-0.434546802232745,-0.154518646726826,-0.202763444934061
"CGGA_1109",0.104196003117296,-0.537804101454931,-0.390074274651478,0.0524653306922331
"CGGA_1124",0.701559341299845,0.351246519715098,0.39142240423076,0.080305780187085
"CGGA_1139",0.28826344427105,-0.560801310332077,-0.408684904393341,-0.360773804623773
"CGGA_1140",-0.335269637424011,-0.30941607164915,0.0941705069220122,-0.303269074000379
"CGGA_1145",0.797050271225281,0.2478579338824,0.481273348792329,0.648623342088643
"CGGA_1171",0.719832068847046,0.473656383278188,0.523358552281519,0.670641449636128
"CGGA_1177",0.759613970324284,0.386575294320677,0.551668761324196,0.0928821801745246
"CGGA_1180",0.389117887309374,0.0644101561981711,-0.213490729879882,-0.414862347086247
"CGGA_1188",0.398723312801322,-0.458181925360991,-0.464132896535157,-0.512823717050225
"CGGA_1214",0.252286818825783,-0.40296203841218,-0.407372737665765,-0.396762178343659
"CGGA_1216",0.546779091875996,-0.0637857991544691,-0.0297730636818315,-0.0185287943012087
"CGGA_1218",0.61782783134104,0.0893611149047615,0.310420009450103,0.3978177847895
"CGGA_1224",0.749512448820032,0.641076496235984,0.624584507099257,0.596850737986738
"CGGA_1234",0.526290314665482,0.348868646407016,0.46096156179153,0.496622038101084
"CGGA_1237",0.329177755393966,-0.521850667026749,-0.373924982292854,-0.482838582711532
"CGGA_1240",0.79236828662603,0.594970358777079,0.613411514399004,0.46791929657827
"CGGA_1251",0.42245643434577,0.26482107480922,0.364585400418383,0.406483649942203
"CGGA_1258",0.614983207224903,-0.465879240973721,-0.0445958418979268,-0.083045035474238
"CGGA_1263",-0.0805868358386901,-0.507643689193858,-0.490296974580588,-0.43638131882885
"CGGA_1270",0.812494529401338,-0.607767345462591,-0.263910649614721,-0.364312838895376
"CGGA_1271",0.308327886369292,-0.53374624182145,-0.331784896409213,-0.241082262419884
"CGGA_1272",0.0576695512415342,0.0446377220070872,-0.360700667219589,-0.288867730314506
"CGGA_1280",0.424512547138804,-0.283311095289222,-0.0113677231840158,0.564052349882772
"CGGA_1281",-0.530460839478451,-0.502532988708527,-0.337023351628559,-0.168212729261739
"CGGA_1283",-0.375532375403594,-0.659674410893357,-0.63888273759075,-0.689902425501242
"CGGA_1284",0.836039740608562,0.536453727047066,0.613393680118913,0.708448043960737
"CGGA_1285",0.561318539796427,0.491505728637265,0.320132532857397,-0.0185970208689394
"CGGA_1292",0.164442940487295,-0.272917265637441,-0.316115372744613,0.220290955669474
"CGGA_1299",0.494962953863727,-0.552263525807049,-0.165729845855387,-0.257027583265046
"CGGA_1301",0.710692486601692,-0.247565897481484,0.287849859376492,0.427276016551998
"CGGA_1313",0.690652565711832,0.327529413598494,0.395591172732287,0.537653959897954
"CGGA_1320",-0.154647823219472,-0.597904269974584,-0.494324850907663,-0.437790676979017
"CGGA_1332",-0.315071993180638,-0.637027467548428,-0.653577359471901,-0.677471678254708
"CGGA_1338",0.768615973433686,-0.255775086802209,0.0826802839625562,0.280326603091818
"CGGA_1340",-0.607488733376986,0.417402096133671,0.365319091814953,0.504721263583926
"CGGA_1342",0.693870659086952,0.459572344549152,0.306122281237231,0.543384716124309
"CGGA_1343",0.442024087272189,0.118421841715316,-0.09466294693272,0.0526967468817921
"CGGA_1346",0.717090635840003,0.0339747804796613,0.391653022087396,0.0587266621882182
"CGGA_1370",0.0770055293833529,0.195198896390322,-0.21744813570119,-0.357793178378111
"CGGA_1393",0.606267772912648,0.16932569926623,0.0926823754123454,-0.108769017195255
